n-gram,Frequency
HE,5911
TH,5493
IN,3860
AN,3437
ER,3344
ED,2639
ND,2496
RE,2480
AT,2318
OU,2293
TO,2098
ON,2068
HA,2044
EN,1991
NG,1851
HI,1775
IT,1773
OR,1700
AS,1681
TE,1610
ME,1600
ST,1561
IS,1542
AR,1514
WA,1470
VE,1413
ES,1407
NT,1404
LE,1401
NE,1313
OF,1237
OM,1205
SE,1194
AL,1165
RO,1112
LL,1092
EA,1088
DE,978
TI,961
LI,959
UT,954
AI,951
OW,900
HO,895
SH,892
WE,877
LY,857
LO,857
AD,845
BE,822
EL,822
WH,818
CO,811
US,807
WI,803
OO,801
RI,799
CE,745
SO,721
UN,712
UR,704
NO,702
YO,701
CH,701
RA,700
FO,695
EE,692
ID,692
CA,692
KE,691
GH,679
ET,665
TA,653
LA,642
IL,638
GA,630
MA,628
IC,627
SI,623
DO,612
IM,609
PE,583
MO,578
OL,559
AC,559
OT,555
SS,555
SA,548
GE,546
TS,511
IR,507
DI,506
AY,495
IG,493
RS,489
DA,489
HT,487
EM,481
LD,478
RT,467
RD,450
IO,447
MI,446
NI,441
GO,429
AM,428
UL,426
BO,423
TR,423
CK,416
IE,415
BU,406
EV,405
BY,404
NC,387
WO,384
SU,384
AB,372
PO,371
EY,371
FR,370
OV,366
NS,363
TL,356
TT,354
BL,351
UP,350
OS,349
UG,346
OK,343
PA,342
EC,339
FI,338
RY,320
AG,312
AV,306
BA,306
IF,305
MY,301
IV,299
YE,296
FA,291
PR,289
RN,282
PL,281
SB,281
DR,274
WN,273
SP,272
FE,271
CT,265
OD,261
VI,257
OP,257
EW,252
RR,252
FT,251
AP,249
TU,248
AW,241
NA,240
GR,236
EP,234
CI,228
BR,228
AU,227
TY,225
PP,224
OI,220
AK,217
SY,212
EF,209
EX,208
CR,206
MP,206
KI,203
KN,200
GI,199
SL,193
UC,186
AF,185
FF,184
NY,181
LF,177
LS,176
EG,176
RU,176
CL,172
DN,170
GL,167
RM,165
HR,165
LU,161
MU,160
QU,160
NK,160
OC,156
PI,154
RL,153
UE,152
EI,151
IA,151
FU,149
UM,147
RK,144
JU,142
IK,138
UI,137
DY,135
OA,134
TW,134
DS,134
CU,131
YS,130
NL,128
HU,127
PT,127
SC,126
DD,126
FL,122
RG,119
NN,116
MR,115
PS,114
VO,112
RC,111
UD,109
JO,108
SK,108
MB,107
SN,107
SM,106
EO,105
VA,105
NU,101
MS,101
LK,100
OB,97
PH,97
UA,96
BI,95
GU,95
PU,94
DU,93
MM,91
GG,91
IB,91
OG,89
IP,88
SW,88
LT,83
HY,73
NF,71
GS,68
ZE,66
NV,66
XC,65
DL,65
XP,64
TC,64
CC,63
WS,63
YI,60
XT,59
OE,59
YT,58
UB,58
KS,58
RP,55
EB,51
BS,50
OH,50
RV,48
GN,47
AZ,47
IZ,46
KL,43
JE,42
JA,40
RH,39
EK,39
WL,39
FS,37
LV,37
LW,36
OY,36
LM,36
NQ,36
RW,34
OX,33
EU,32
XI,32
AE,31
RB,30
UF,30
EH,30
WD,29
DG,28
MN,28
RF,28
WR,27
YA,27
UO,27
LR,27
YR,26
LP,25
TM,24
BJ,24
BB,23
YB,23
KY,23
SQ,21
CY,21
IX,21
OZ,20
MC,20
XE,19
ZI,18
DV,17
AX,17
ZY,17
HS,17
HL,16
TF,16
BT,16
KA,15
SF,15
HB,15
PY,15
TZ,15
DM,14
TN,14
XF,14
AH,14
EQ,13
ZA,13
HM,13
YH,13
DB,12
NJ,11
NH,11
NR,11
AJ,10
XA,10
DW,9
KW,9
UY,9
ZZ,9
NM,8
BV,8
GT,8
CS,8
KT,8
NP,8
ML,8
GY,7
YW,7
SV,7
LB,7
HN,7
NW,7
JI,7
IU,7
LC,7
NB,6
UK,6
YL,6
YM,6
VU,5
GM,5
AO,5
EZ,5
HH,5
WF,5
EJ,5
YD,5
LN,4
KF,4
HF,4
XH,4
LH,4
CQ,4
UV,4
IQ,4
ZL,4
UX,4
XU,4
NX,4
MF,4
VY,3
TB,3
TD,3
YN,3
DK,3
YC,3
WT,3
SD,2
BM,2
MT,2
DH,2
WU,2
KB,2
YP,2
BW,2
AQ,2
XO,2
VL,2
KM,2
KH,2
HW,2
DJ,2
KO,2
LG,2
WY,2
WK,2
BN,1
ZO,1
HQ,1
DF,1
YZ,1
PK,1
BD,1
SG,1
WB,1
DT,1
YK,1
VR,1
KC,1
KG,1
YF,1
UZ,1
PW,1
FY,1
HG,1
AA,1
KR,1
PB,1
YU,1
HP,1
PF,1
YG,1
HD,1
FN,1
NZ,1
PN,1
TP,1
CN,1
UH,1
